Drive_ID,Vendor,Model,Firmware_Version,Temperature_C,Total_TBW_TB,Total_TBR_TB,Power_On_Hours,Unsafe_Shutdowns,Media_Errors,Percent_Life_Used,Available_Spare,SMART_Warning_Flag,Failure_Mode,Failure_Flag
NVME-10024,Seagate,FireCuda 530,3.0.5,29.7,49.05,56.1,1385,0,0,4.1,99.6,0,0,0
NVME-10025,Crucial,P5 Plus,1.1.2,38.0,711.12,827.81,35641,0,0,59.3,94.1,0,0,0
NVME-10026,Crucial,P5 Plus,2.1.0,39.3,30.41,27.21,676,0,0,2.5,99.7,0,0,0
NVME-10027,Intel,670p,2.1.0,38.1,910.06,853.05,24883,0,0,75.8,92.4,0,0,0
NVME-10028,Seagate,FireCuda 530,2.0.1,30.7,1081.79,26.58,808,0,43,90.1,7.5,1,1,1
NVME-10029,Samsung,980 Pro,2.0.1,29.2,845.3,825.08,35120,0,58,70.4,93.0,1,4,1
NVME-10030,Intel,670p,2.1.0,32.9,747.62,744.0,26774,0,0,62.3,93.8,0,0,0
NVME-10031,Western Digital,SN850,3.0.5,24.9,1299.68,1516.34,39825,1,0,100.0,89.2,0,0,0
NVME-10032,Western Digital,SN850,2.0.1,20.8,999.92,832.61,132,0,14,83.3,91.7,1,5,1
NVME-10033,Western Digital,SN850,2.1.0,29.6,632.47,531.06,25265,18,4,52.7,94.7,0,3,1
NVME-10034,Western Digital,SN850,1.0.0,35.6,1423.89,1377.71,51,0,6,100.0,88.1,1,5,1
NVME-10035,Samsung,980 Pro,2.0.1,28.7,169.83,188.64,4388,1,0,14.2,98.6,0,0,0
NVME-10036,Western Digital,SN850,1.0.0,38.7,73.29,65.92,3154,1,20,6.1,99.4,1,4,1
NVME-10037,Intel,670p,2.0.1,34.0,1144.53,388.6,25414,0,6,95.4,6.8,1,1,1
NVME-10038,Seagate,FireCuda 530,1.0.0,38.2,1411.76,1548.43,39210,0,62,100.0,88.2,1,4,1
NVME-10039,Western Digital,SN850,1.1.2,38.3,383.85,452.5,14755,0,0,32.0,96.8,0,0,0
NVME-10040,Crucial,P5 Plus,2.1.0,37.9,119.39,128.42,3235,12,7,9.9,99.0,0,3,1
NVME-10041,Crucial,P5 Plus,1.1.2,78.6,173.49,204.87,8044,0,2,14.5,98.6,0,2,1
NVME-10042,Western Digital,SN850,1.0.0,36.1,344.44,344.8,10948,0,0,28.7,97.1,0,0,0
NVME-10043,Samsung,980 Pro,1.0.0,34.8,1366.28,1542.61,37291,0,54,100.0,88.6,1,4,1
NVME-10044,Crucial,P5 Plus,3.0.5,35.2,1235.58,116.98,2897,0,9,100.0,8.7,1,1,1
NVME-10045,Crucial,P5 Plus,1.0.0,77.9,120.06,132.66,3360,0,5,10.0,99.0,0,2,1
NVME-10046,Intel,670p,1.0.0,30.5,169.19,172.31,5307,0,0,14.1,98.6,0,0,0
NVME-10047,Crucial,P5 Plus,3.0.5,33.8,1535.66,1307.71,34132,1,0,100.0,87.2,0,0,0
NVME-10048,Intel,670p,2.1.0,33.0,592.14,529.07,14249,1,0,49.3,95.1,0,0,0
NVME-10049,Samsung,980 Pro,1.1.2,30.0,947.16,818.67,34948,1,0,78.9,92.1,0,0,0
NVME-10050,Samsung,980 Pro,1.0.0,36.2,1546.13,1554.49,32586,1,0,100.0,87.1,0,0,0
NVME-10051,Crucial,P5 Plus,2.0.1,40.4,750.51,617.05,31876,0,0,62.5,93.7,0,0,0
NVME-10052,Samsung,980 Pro,1.0.0,32.2,1459.5,1703.39,37382,43,4,100.0,87.8,1,3,1
NVME-10053,Samsung,980 Pro,2.1.0,33.3,1609.84,1397.69,39133,0,0,100.0,86.6,0,0,0
NVME-10054,Samsung,980 Pro,2.0.1,36.2,1311.72,658.04,21768,0,40,100.0,2.8,1,1,1
NVME-10055,Samsung,980 Pro,2.0.1,38.3,329.54,318.85,30383,1,0,27.5,97.3,0,0,0
NVME-10056,Samsung,980 Pro,3.0.5,30.3,1289.86,267.34,8207,1,35,100.0,3.2,1,1,1
NVME-10057,Intel,670p,1.1.2,27.1,160.01,135.93,10708,0,0,13.3,98.7,0,0,0
NVME-10058,Seagate,FireCuda 530,1.0.0,35.6,146.52,124.67,12868,1,0,12.2,98.8,0,0,0
NVME-10059,Seagate,FireCuda 530,2.1.0,27.9,419.82,400.24,29148,2,0,35.0,96.5,0,0,0
NVME-10060,Seagate,FireCuda 530,2.1.0,35.7,863.02,759.7,23529,1,0,71.9,92.8,0,0,0
NVME-10061,Crucial,P5 Plus,1.1.2,42.0,359.49,409.75,24826,0,0,30.0,97.0,0,0,0
NVME-10062,Crucial,P5 Plus,1.1.2,39.8,195.68,217.85,4344,0,0,16.3,98.4,0,0,0
NVME-10063,Western Digital,SN850,1.1.2,35.6,790.45,648.27,25007,0,0,65.9,93.4,0,0,0
NVME-10064,Crucial,P5 Plus,2.0.1,38.1,51.99,56.64,419,0,12,4.3,99.6,1,5,1
NVME-10065,Western Digital,SN850,3.0.5,34.6,646.63,663.83,35550,1,0,53.9,94.6,0,0,0
NVME-10066,Seagate,FireCuda 530,1.0.0,31.5,95.16,95.62,2189,0,0,7.9,99.2,0,0,0
NVME-10067,Seagate,FireCuda 530,2.1.0,32.0,230.81,204.05,6840,0,0,19.2,98.1,0,0,0
NVME-10068,Crucial,P5 Plus,2.1.0,29.9,102.56,96.82,9650,0,0,8.5,99.1,0,0,0
NVME-10069,Seagate,FireCuda 530,1.1.2,34.9,185.46,148.53,3709,1,0,15.5,98.5,0,0,0
NVME-10070,Western Digital,SN850,2.1.0,34.9,1294.56,189.0,3754,0,15,100.0,6.5,1,1,1
NVME-10071,Seagate,FireCuda 530,2.1.0,30.9,989.21,811.64,37914,0,0,82.4,91.8,0,0,0
NVME-10072,Intel,670p,3.0.5,28.9,1167.97,427.61,16044,1,30,97.3,1.5,1,1,1
NVME-10073,Western Digital,SN850,2.1.0,32.5,552.27,652.98,32376,0,0,46.0,95.4,0,0,0
NVME-10074,Crucial,P5 Plus,1.0.0,34.3,1075.25,1098.52,23146,0,0,89.6,91.0,0,0,0
NVME-10075,Western Digital,SN850,1.1.2,41.8,1506.7,1744.14,33727,1,0,100.0,87.4,0,0,0
NVME-10076,Western Digital,SN850,1.0.0,41.5,1193.13,1244.06,29622,0,34,99.4,90.1,1,4,1
NVME-10077,Crucial,P5 Plus,1.0.0,32.5,199.0,191.07,18557,0,37,16.6,98.3,1,4,1
NVME-10078,Samsung,980 Pro,1.1.2,30.0,582.65,510.53,18924,0,0,48.6,95.1,0,0,0
NVME-10079,Western Digital,SN850,2.1.0,33.5,1394.76,1311.08,39257,1,0,100.0,88.4,0,0,0
NVME-10080,Samsung,980 Pro,1.1.2,32.0,1282.48,770.15,23638,0,48,100.0,5.4,1,1,1
NVME-10081,Intel,670p,2.0.1,34.2,565.56,484.49,20360,0,0,47.1,95.3,0,0,0
NVME-10082,Samsung,980 Pro,1.1.2,32.0,284.28,271.71,18094,29,2,23.7,97.6,1,3,1
NVME-10083,Samsung,980 Pro,2.0.1,36.1,314.76,350.38,14013,0,0,26.2,97.4,0,0,0
NVME-10084,Seagate,FireCuda 530,2.0.1,32.9,787.13,769.22,31118,0,49,65.6,93.4,1,4,1
NVME-10085,Crucial,P5 Plus,1.0.0,43.8,805.43,754.58,35546,0,0,67.1,93.3,0,0,0
NVME-10086,Intel,670p,3.0.5,34.4,168.38,180.84,12589,1,0,14.0,98.6,0,0,0
NVME-10087,Crucial,P5 Plus,1.0.0,44.6,385.79,413.96,17057,34,6,32.1,96.8,1,3,1
NVME-10088,Crucial,P5 Plus,3.0.5,31.7,1190.57,335.87,9732,0,34,99.2,6.6,1,1,1
NVME-10089,Seagate,FireCuda 530,3.0.5,40.8,1156.28,1326.58,26884,0,0,96.4,90.4,0,0,0
NVME-10090,Samsung,980 Pro,1.1.2,37.6,1216.62,294.41,28392,0,46,100.0,4.5,1,1,1
NVME-10091,Western Digital,SN850,1.0.0,35.8,1192.75,227.76,18333,0,33,99.4,2.6,1,1,1
NVME-10092,Crucial,P5 Plus,2.0.1,37.0,762.21,628.1,25288,1,0,63.5,93.6,0,0,0
NVME-10093,Seagate,FireCuda 530,1.0.0,38.7,77.28,89.33,1586,0,0,6.4,99.4,0,0,0
NVME-10094,Crucial,P5 Plus,2.0.1,37.7,22.32,21.96,1123,1,48,1.9,99.8,1,4,1
NVME-10095,Western Digital,SN850,1.0.0,30.2,806.41,826.23,29093,38,2,67.2,93.3,1,3,1
NVME-10096,Crucial,P5 Plus,1.0.0,36.8,816.5,660.91,26416,0,0,68.0,93.2,0,0,0
NVME-10097,Intel,670p,1.0.0,31.9,526.13,447.34,29926,0,0,43.8,95.6,0,0,0
NVME-10098,Crucial,P5 Plus,1.0.0,32.0,1232.2,1118.55,29412,43,6,100.0,89.7,1,3,1
NVME-10099,Samsung,980 Pro,3.0.5,31.1,1274.76,1387.68,37903,2,0,100.0,89.4,0,0,0
NVME-10100,Crucial,P5 Plus,2.0.1,39.4,1140.58,791.62,26637,2,24,95.0,0.3,1,1,1
NVME-10101,Intel,670p,1.1.2,29.5,860.61,896.38,39978,0,0,71.7,92.8,0,0,0
NVME-10102,Western Digital,SN850,1.0.0,44.8,39.67,41.27,1323,0,0,3.3,99.7,0,0,0
NVME-10103,Intel,670p,2.0.1,38.5,442.06,439.72,9223,1,0,36.8,96.3,0,0,0
NVME-10104,Seagate,FireCuda 530,2.0.1,89.1,500.81,546.15,10463,0,10,41.7,95.8,1,2,1
NVME-10105,Western Digital,SN850,2.1.0,33.8,303.78,307.21,20690,0,0,25.3,97.5,0,0,0
NVME-10106,Seagate,FireCuda 530,2.0.1,34.8,927.02,883.87,19304,0,0,77.3,92.3,0,0,0
NVME-10107,Samsung,980 Pro,1.0.0,28.0,530.39,511.47,24155,0,0,44.2,95.6,0,0,0
NVME-10108,Crucial,P5 Plus,3.0.5,33.7,98.77,109.85,5234,0,0,8.2,99.2,0,0,0
NVME-10109,Samsung,980 Pro,1.1.2,34.7,384.86,409.25,33645,0,0,32.1,96.8,0,0,0
NVME-10110,Crucial,P5 Plus,1.0.0,38.1,204.23,234.79,11181,0,0,17.0,98.3,0,0,0
NVME-10111,Seagate,FireCuda 530,3.0.5,68.1,408.5,445.62,9323,1,3,34.0,96.6,0,2,1
NVME-10112,Intel,670p,3.0.5,31.7,1423.06,1557.09,36310,0,0,100.0,88.1,0,0,0
NVME-10113,Intel,670p,3.0.5,39.0,1010.3,994.11,22189,1,0,84.2,91.6,0,0,0
NVME-10114,Samsung,980 Pro,1.0.0,29.1,802.66,800.99,38693,0,0,66.9,93.3,0,0,0
NVME-10115,Samsung,980 Pro,2.0.1,83.4,218.63,217.21,9634,0,4,18.2,98.2,1,2,1
NVME-10116,Western Digital,SN850,1.0.0,32.5,1146.57,1355.32,28523,0,0,95.5,90.4,0,0,0
NVME-10117,Intel,670p,1.0.0,34.2,598.15,523.96,16140,1,0,49.8,95.0,0,0,0
NVME-10118,Intel,670p,1.0.0,25.3,501.68,529.14,29903,2,0,41.8,95.8,0,0,0
NVME-10119,Intel,670p,2.1.0,45.2,1115.23,1187.55,37024,2,0,92.9,90.7,0,0,0
NVME-10120,Samsung,980 Pro,2.0.1,30.1,697.52,607.46,28763,1,0,58.1,94.2,0,0,0
NVME-10121,Samsung,980 Pro,2.0.1,30.8,160.23,144.33,10899,1,0,13.4,98.7,0,0,0
NVME-10122,Samsung,980 Pro,3.0.5,40.8,738.02,624.88,23859,0,0,61.5,93.8,0,0,0
NVME-10123,Crucial,P5 Plus,2.1.0,32.5,552.65,611.03,12341,0,0,46.1,95.4,0,0,0
NVME-10124,Samsung,980 Pro,1.1.2,32.4,876.25,955.28,29142,0,0,73.0,92.7,0,0,0
NVME-10125,Intel,670p,2.0.1,93.1,924.67,803.24,21637,1,12,77.1,92.3,1,2,1
NVME-10126,Crucial,P5 Plus,2.1.0,37.5,1037.16,1222.96,21977,0,0,86.4,91.4,0,0,0
NVME-10127,Samsung,980 Pro,3.0.5,42.9,143.06,142.75,3425,1,0,11.9,98.8,0,0,0
NVME-10128,Intel,670p,2.1.0,33.5,509.5,589.44,28978,0,0,42.5,95.8,0,0,0
NVME-10129,Western Digital,SN850,1.1.2,32.3,342.84,308.72,12831,0,0,28.6,97.1,0,0,0
NVME-10130,Western Digital,SN850,3.0.5,31.6,389.9,380.83,11854,0,0,32.5,96.8,0,0,0
NVME-10131,Crucial,P5 Plus,3.0.5,31.2,1162.95,1223.8,35741,0,18,96.9,8.7,1,1,1
NVME-10132,Seagate,FireCuda 530,2.1.0,40.8,234.04,246.56,5277,0,0,19.5,98.0,0,0,0
NVME-10133,Western Digital,SN850,1.1.2,29.0,1169.44,869.16,21107,1,32,97.5,6.8,1,1,1
NVME-10134,Seagate,FireCuda 530,1.0.0,38.5,1346.2,1300.57,31959,0,41,100.0,88.8,1,4,1
NVME-10135,Western Digital,SN850,2.0.1,27.2,318.54,258.0,14361,0,0,26.5,97.3,0,0,0
NVME-10136,Seagate,FireCuda 530,1.0.0,42.3,716.36,801.89,16262,0,0,59.7,94.0,0,0,0
NVME-10137,Seagate,FireCuda 530,2.1.0,34.9,250.69,222.44,9100,0,0,20.9,97.9,0,0,0
NVME-10138,Samsung,980 Pro,1.0.0,24.3,557.16,550.17,28217,0,46,46.4,95.4,1,4,1
NVME-10139,Intel,670p,3.0.5,33.7,324.03,383.85,23846,27,9,27.0,97.3,1,3,1
NVME-10140,Western Digital,SN850,2.1.0,31.7,1114.28,888.09,26581,1,23,92.9,7.9,1,1,1
NVME-10141,Seagate,FireCuda 530,1.0.0,37.8,933.92,1026.41,34140,2,0,77.8,92.2,0,0,0
NVME-10142,Samsung,980 Pro,2.1.0,36.7,782.06,804.68,17988,1,0,65.2,93.5,0,0,0
NVME-10143,Samsung,980 Pro,1.0.0,32.4,266.9,310.22,6398,1,0,22.2,97.8,0,0,0
NVME-10144,Western Digital,SN850,2.1.0,31.0,202.61,213.64,4522,0,0,16.9,98.3,0,0,0
NVME-10145,Seagate,FireCuda 530,1.1.2,39.0,1223.73,9.21,610,0,24,100.0,8.7,1,1,1
NVME-10146,Samsung,980 Pro,1.1.2,26.5,1417.8,1446.46,32205,1,0,100.0,88.2,0,0,0
NVME-10147,Samsung,980 Pro,3.0.5,26.0,614.69,568.67,12683,0,0,51.2,94.9,0,0,0
NVME-10148,Samsung,980 Pro,1.1.2,33.6,33.07,29.36,222,0,17,2.8,99.7,1,5,1
NVME-10149,Samsung,980 Pro,1.1.2,28.6,461.3,379.1,32972,1,0,38.4,96.2,0,0,0
NVME-10150,Western Digital,SN850,3.0.5,36.3,1274.26,81.1,2198,0,16,100.0,5.2,1,1,1
NVME-10151,Seagate,FireCuda 530,1.0.0,38.0,691.1,611.91,38631,1,57,57.6,94.2,1,4,1
NVME-10152,Intel,670p,2.1.0,32.2,1696.16,1463.13,36741,0,0,100.0,85.9,0,0,0
NVME-10153,Seagate,FireCuda 530,2.0.1,33.2,178.46,185.53,6384,0,0,14.9,98.5,0,0,0
NVME-10154,Western Digital,SN850,1.0.0,28.5,940.96,793.13,27596,0,0,78.4,92.2,0,0,0
NVME-10155,Samsung,980 Pro,2.0.1,78.1,652.08,568.52,25359,0,13,54.3,94.6,0,2,1
NVME-10156,Intel,670p,2.0.1,30.7,395.9,361.84,17106,0,0,33.0,96.7,0,0,0
NVME-10157,Western Digital,SN850,2.1.0,41.1,1285.07,10.36,1201,0,15,100.0,9.4,1,1,1
NVME-10158,Crucial,P5 Plus,3.0.5,45.6,1024.82,1015.41,64,2,8,85.4,91.5,1,5,1
NVME-10159,Western Digital,SN850,1.1.2,33.9,344.2,306.98,12809,0,0,28.7,97.1,0,0,0
NVME-10160,Crucial,P5 Plus,2.0.1,37.1,308.12,297.77,10507,1,0,25.7,97.4,0,0,0
NVME-10161,Seagate,FireCuda 530,3.0.5,36.8,197.54,188.01,11681,1,0,16.5,98.4,0,0,0
NVME-10162,Crucial,P5 Plus,2.0.1,45.0,1233.15,93.73,8418,1,42,100.0,6.5,1,1,1
NVME-10163,Crucial,P5 Plus,1.1.2,74.9,247.14,244.68,5158,0,7,20.6,97.9,0,2,1
NVME-10164,Intel,670p,1.1.2,42.9,747.46,599.38,23723,0,0,62.3,93.8,0,0,0
NVME-10165,Samsung,980 Pro,1.0.0,37.3,1726.93,1927.65,35290,0,0,100.0,85.6,0,0,0
NVME-10166,Seagate,FireCuda 530,2.1.0,86.8,12.57,11.86,293,0,12,1.0,99.9,1,2,1
NVME-10167,Samsung,980 Pro,2.0.1,40.2,622.58,730.43,12768,1,0,51.9,94.8,0,0,0
NVME-10168,Samsung,980 Pro,3.0.5,73.6,900.14,741.96,26422,0,7,75.0,92.5,0,2,1
NVME-10169,Crucial,P5 Plus,1.0.0,27.4,102.61,109.68,6707,0,42,8.6,99.1,1,4,1
NVME-10170,Samsung,980 Pro,1.1.2,78.4,852.69,695.89,18908,1,2,71.1,92.9,0,2,1
NVME-10171,Seagate,FireCuda 530,2.1.0,37.0,850.78,990.84,314,0,11,70.9,92.9,1,5,1
NVME-10172,Samsung,980 Pro,3.0.5,60.0,961.36,769.18,30673,0,5,80.1,92.0,0,2,1
NVME-10173,Intel,670p,2.0.1,36.8,1296.61,19.53,629,0,31,100.0,3.6,1,1,1
NVME-10174,Crucial,P5 Plus,1.0.0,29.3,940.15,1112.98,22032,1,0,78.3,92.2,0,0,0
NVME-10175,Intel,670p,2.0.1,38.8,825.64,945.67,29310,2,0,68.8,93.1,0,0,0
NVME-10176,Crucial,P5 Plus,1.0.0,28.3,1303.84,856.13,31361,0,29,100.0,6.9,1,1,1
NVME-10177,Samsung,980 Pro,1.0.0,41.3,120.01,118.46,5428,0,0,10.0,99.0,0,0,0
NVME-10178,Western Digital,SN850,1.0.0,34.0,587.04,564.49,18210,24,8,48.9,95.1,0,3,1
NVME-10179,Seagate,FireCuda 530,1.1.2,35.2,102.2,82.55,9699,1,0,8.5,99.1,0,0,0
NVME-10180,Intel,670p,1.0.0,39.0,109.64,126.06,2340,0,0,9.1,99.1,0,0,0
NVME-10181,Crucial,P5 Plus,3.0.5,40.9,433.83,361.95,19372,0,0,36.2,96.4,0,0,0
NVME-10182,Crucial,P5 Plus,1.0.0,42.7,212.23,196.07,18098,0,91,17.7,98.2,1,4,1
NVME-10183,Samsung,980 Pro,2.1.0,35.6,165.04,136.46,8063,0,0,13.8,98.6,0,0,0
NVME-10184,Western Digital,SN850,1.1.2,37.3,1125.91,1022.0,35260,1,41,93.8,9.1,1,1,1
NVME-10185,Crucial,P5 Plus,1.0.0,31.7,18.08,18.02,441,1,0,1.5,99.8,0,0,0
NVME-10186,Western Digital,SN850,1.0.0,36.7,59.74,55.54,2827,1,0,5.0,99.5,0,0,0
NVME-10187,Western Digital,SN850,1.1.2,39.3,1330.71,1315.63,36711,0,0,100.0,88.9,0,0,0
NVME-10188,Western Digital,SN850,1.0.0,38.7,1156.44,1026.48,28801,0,0,96.4,90.4,0,0,0
NVME-10189,Samsung,980 Pro,2.1.0,31.0,1156.43,1160.96,26228,0,10,96.4,3.1,1,1,1
NVME-10190,Intel,670p,2.1.0,30.3,1092.47,811.82,29198,1,10,91.0,7.6,1,1,1
NVME-10191,Western Digital,SN850,3.0.5,33.6,772.82,648.18,19325,0,0,64.4,93.6,0,0,0
NVME-10192,Crucial,P5 Plus,1.1.2,39.4,1267.22,226.36,8429,0,33,100.0,4.9,1,1,1
NVME-10193,Samsung,980 Pro,2.0.1,35.2,810.84,830.26,23706,0,0,67.6,93.2,0,0,0
NVME-10194,Samsung,980 Pro,3.0.5,23.1,1472.72,1333.13,32392,0,0,100.0,87.7,0,0,0
NVME-10195,Western Digital,SN850,2.0.1,35.3,214.19,251.37,14767,0,0,17.8,98.2,0,0,0
NVME-10196,Seagate,FireCuda 530,2.1.0,29.4,1202.19,779.84,31788,0,42,100.0,7.8,1,1,1
NVME-10197,Seagate,FireCuda 530,2.0.1,37.2,118.61,120.54,4305,1,0,9.9,99.0,0,0,0
NVME-10198,Intel,670p,1.0.0,35.2,716.56,671.61,21860,0,0,59.7,94.0,0,0,0
NVME-10199,Samsung,980 Pro,3.0.5,38.0,755.96,647.95,30588,1,0,63.0,93.7,0,0,0
NVME-10200,Samsung,980 Pro,1.1.2,33.3,1515.15,1284.7,32778,0,0,100.0,87.4,0,0,0
NVME-10201,Seagate,FireCuda 530,3.0.5,39.3,31.25,35.15,1891,2,0,2.6,99.7,0,0,0
NVME-10202,Seagate,FireCuda 530,1.0.0,37.0,318.63,380.07,15803,3,10,26.6,97.3,1,4,1
NVME-10203,Intel,670p,3.0.5,50.9,185.56,172.25,7667,2,11,15.5,98.5,0,2,1
NVME-10204,Western Digital,SN850,1.0.0,36.1,413.12,424.74,12065,0,0,34.4,96.6,0,0,0
NVME-10205,Seagate,FireCuda 530,2.1.0,33.3,456.1,456.84,24905,0,0,38.0,96.2,0,0,0
NVME-10206,Samsung,980 Pro,1.0.0,35.3,171.55,181.35,13647,12,1,14.3,98.6,0,3,1
NVME-10207,Seagate,FireCuda 530,2.1.0,37.7,679.56,761.55,13968,1,0,56.6,94.3,0,0,0
NVME-10208,Intel,670p,1.0.0,34.4,1033.38,1025.12,84,0,10,86.1,91.4,1,5,1
NVME-10209,Samsung,980 Pro,2.0.1,33.9,183.64,219.58,14509,0,0,15.3,98.5,0,0,0
NVME-10210,Western Digital,SN850,1.0.0,33.2,440.38,423.23,12836,0,60,36.7,96.3,1,4,1
NVME-10211,Western Digital,SN850,3.0.5,37.5,518.69,533.93,29528,0,0,43.2,95.7,0,0,0
NVME-10212,Samsung,980 Pro,2.0.1,77.7,729.73,598.31,37687,0,8,60.8,93.9,0,2,1
NVME-10213,Samsung,980 Pro,2.0.1,43.0,1189.19,1122.36,37762,0,26,99.1,6.8,1,1,1
NVME-10214,Seagate,FireCuda 530,2.0.1,30.7,154.04,153.81,13179,0,35,12.8,98.7,1,4,1
NVME-10215,Seagate,FireCuda 530,1.1.2,39.9,136.57,123.99,7051,1,0,11.4,98.9,0,0,0
NVME-10216,Western Digital,SN850,1.0.0,40.2,473.17,540.49,29269,0,0,39.4,96.1,0,0,0
NVME-10217,Seagate,FireCuda 530,1.1.2,31.7,455.59,412.4,20771,0,0,38.0,96.2,0,0,0
NVME-10218,Crucial,P5 Plus,3.0.5,26.5,319.64,310.81,23556,0,0,26.6,97.3,0,0,0
NVME-10219,Western Digital,SN850,3.0.5,29.4,309.58,368.51,22450,16,5,25.8,97.4,0,3,1
NVME-10220,Seagate,FireCuda 530,2.0.1,41.0,55.31,59.5,5151,0,0,4.6,99.5,0,0,0
NVME-10221,Samsung,980 Pro,2.1.0,26.4,427.61,456.62,22900,1,0,35.6,96.4,0,0,0
NVME-10222,Samsung,980 Pro,1.1.2,29.0,420.59,423.3,17356,0,0,35.0,96.5,0,0,0
NVME-10223,Crucial,P5 Plus,1.1.2,30.3,506.2,529.74,34559,13,5,42.2,95.8,0,3,1
NVME-10224,Crucial,P5 Plus,2.0.1,32.0,689.38,753.97,22176,0,0,57.4,94.3,0,0,0
NVME-10225,Western Digital,SN850,1.1.2,33.6,369.5,420.19,431,0,1,30.8,96.9,1,5,1
NVME-10226,Crucial,P5 Plus,1.0.0,28.6,1495.91,1466.41,36473,2,96,100.0,87.5,1,4,1
NVME-10227,Crucial,P5 Plus,3.0.5,35.6,945.19,1012.1,33344,0,0,78.8,92.1,0,0,0
NVME-10228,Intel,670p,2.1.0,34.5,1905.64,1768.8,39349,2,0,100.0,84.1,0,0,0
NVME-10229,Seagate,FireCuda 530,2.1.0,40.5,1276.3,563.05,14944,0,10,100.0,3.1,1,1,1
NVME-10230,Samsung,980 Pro,1.0.0,33.1,729.96,587.69,19891,1,0,60.8,93.9,0,0,0
NVME-10231,Western Digital,SN850,2.1.0,34.1,144.81,155.16,5538,0,0,12.1,98.8,0,0,0
NVME-10232,Intel,670p,1.0.0,20.5,1673.31,1913.42,35351,1,69,100.0,86.1,1,4,1
NVME-10233,Intel,670p,1.0.0,38.2,1078.76,1222.41,34014,0,0,89.9,91.0,0,0,0
NVME-10234,Intel,670p,1.1.2,29.5,1124.62,302.86,9017,1,20,93.7,10.0,1,1,1
NVME-10235,Western Digital,SN850,1.1.2,30.2,1361.54,1119.94,32824,0,0,100.0,88.7,0,0,0
NVME-10236,Samsung,980 Pro,1.1.2,95.9,877.56,826.6,22418,1,8,73.1,92.7,1,2,1
NVME-10237,Intel,670p,2.0.1,38.5,533.2,523.85,33439,0,0,44.4,95.6,0,0,0
NVME-10238,Intel,670p,2.1.0,32.4,1488.08,1649.85,33071,0,0,100.0,87.6,0,0,0
NVME-10239,Samsung,980 Pro,1.1.2,39.2,1090.5,976.4,38453,1,0,90.9,90.9,0,0,0
